x, y, z
0.068240, -0.008868, -0.001187
0.068240, -0.008827, -0.001167
0.068240, -0.008715, -0.001106
0.068240, -0.008551, -0.001015
0.068240, -0.008335, -0.000908
0.068240, -0.008061, -0.000792
0.068240, -0.007730, -0.000662
0.068240, -0.007347, -0.000519
0.068240, -0.006919, -0.000365
0.068240, -0.006451, -0.000201
0.068240, -0.005950, -0.000030
0.068240, -0.005423, 0.000144
0.068240, -0.004877, 0.000321
0.068240, -0.004319, 0.000495
0.068240, -0.003754, 0.000660
0.068240, -0.003190, 0.000813
0.068240, -0.002631, 0.000949
0.068240, -0.002083, 0.001064
0.068240, -0.001548, 0.001153
0.068240, -0.001028, 0.001214
0.068240, -0.000525, 0.001247
0.068240, -0.000039, 0.001254
0.068240, 0.000425, 0.001238
0.068240, 0.000864, 0.001203
0.068240, 0.001271, 0.001150
0.068240, 0.001643, 0.001082
0.068240, 0.001975, 0.001000
0.068240, 0.002263, 0.000908
0.068240, 0.002504, 0.000806
0.068240, 0.002696, 0.000698
0.068240, 0.002837, 0.000588
0.068240, 0.002889, 0.000533
0.068240, 0.002932, 0.000470
0.068240, 0.002949, 0.000431
0.068240, 0.002955, 0.000387
0.068240, 0.002951, 0.000371
0.068240, 0.002937, 0.000345
0.068240, 0.002910, 0.000308
0.068240, 0.002849, 0.000250
0.068240, 0.002782, 0.000201
0.068240, 0.002601, 0.000099
0.068240, 0.002360, -0.000004
0.068240, 0.002063, -0.000106
0.068240, 0.001711, -0.000207
0.068240, 0.001311, -0.000307
0.068240, 0.000867, -0.000401
0.068240, 0.000385, -0.000490
0.068240, -0.000129, -0.000569
0.068240, -0.000673, -0.000635
0.068240, -0.001243, -0.000684
0.068240, -0.001840, -0.000716
0.068240, -0.002461, -0.000735
0.068240, -0.003104, -0.000748
0.068240, -0.003759, -0.000760
0.068240, -0.004415, -0.000775
0.068240, -0.005062, -0.000797
0.068240, -0.005689, -0.000826
0.068240, -0.006286, -0.000863
0.068240, -0.006840, -0.000918
0.068240, -0.007344, -0.000973
0.068240, -0.007787, -0.001031
0.068240, -0.008161, -0.001090
0.068240, -0.008461, -0.001143
0.068240, -0.008681, -0.001188
0.068240, -0.008816, -0.001221
0.068240, -0.008861, -0.001234
