x, y, z
0.048197, -0.012347, -0.002229
0.048197, -0.012291, -0.002198
0.048197, -0.012139, -0.002106
0.048197, -0.011914, -0.001967
0.048197, -0.011619, -0.001804
0.048197, -0.011243, -0.001624
0.048197, -0.010787, -0.001421
0.048197, -0.010260, -0.001197
0.048197, -0.009669, -0.000953
0.048197, -0.009024, -0.000693
0.048197, -0.008333, -0.000422
0.048197, -0.007606, -0.000145
0.048197, -0.006853, 0.000139
0.048197, -0.006082, 0.000417
0.048197, -0.005302, 0.000684
0.048197, -0.004521, 0.000935
0.048197, -0.003747, 0.001161
0.048197, -0.002986, 0.001357
0.048197, -0.002243, 0.001516
0.048197, -0.001518, 0.001635
0.048197, -0.000815, 0.001714
0.048197, -0.000135, 0.001754
0.048197, 0.000517, 0.001762
0.048197, 0.001133, 0.001740
0.048197, 0.001707, 0.001692
0.048197, 0.002232, 0.001620
0.048197, 0.002702, 0.001527
0.048197, 0.003112, 0.001416
0.048197, 0.003456, 0.001289
0.048197, 0.003732, 0.001150
0.048197, 0.003937, 0.001005
0.048197, 0.004013, 0.000931
0.048197, 0.004077, 0.000846
0.048197, 0.004104, 0.000792
0.048197, 0.004115, 0.000731
0.048197, 0.004110, 0.000708
0.048197, 0.004093, 0.000671
0.048197, 0.004056, 0.000617
0.048197, 0.003975, 0.000532
0.048197, 0.003884, 0.000459
0.048197, 0.003637, 0.000305
0.048197, 0.003306, 0.000145
0.048197, 0.002896, -0.000017
0.048197, 0.002411, -0.000181
0.048197, 0.001856, -0.000346
0.048197, 0.001240, -0.000507
0.048197, 0.000571, -0.000662
0.048197, -0.000145, -0.000806
0.048197, -0.000902, -0.000932
0.048197, -0.001698, -0.001038
0.048197, -0.002531, -0.001121
0.048197, -0.003401, -0.001187
0.048197, -0.004301, -0.001245
0.048197, -0.005217, -0.001304
0.048197, -0.006135, -0.001368
0.048197, -0.007040, -0.001439
0.048197, -0.007917, -0.001520
0.048197, -0.008751, -0.001610
0.048197, -0.009524, -0.001723
0.048197, -0.010226, -0.001832
0.048197, -0.010843, -0.001942
0.048197, -0.011364, -0.002047
0.048197, -0.011779, -0.002141
0.048197, -0.012085, -0.002219
0.048197, -0.012272, -0.002274
0.048197, -0.012335, -0.002295
